full_name,class,a,e,i,q,H,neo,pha,diameter,albedo,diameter_sigma,orbit_id,n,per,moid
252558 (2001 WT1),APO,1.089,0.3973,7.16,0.657,20.31,Y,N,0.533,0.062,0.03,JPL 73,0.8667,415,0.122
250706 (2005 RR6),APO,2.957,0.7011,6.93,0.884,18.55,Y,Y,0.535,0.322,0.16,JPL 109,0.1938,1860,0.034
       (2015 DN215),APO,2.74,0.7485,10.36,0.689,19.8,Y,Y,0.535,0.074,0.1,JPL 45,0.2173,1660,0.0197
455299 (2002 EL6),APO,2.304,0.5779,9.53,0.972,18.05,Y,Y,0.537,0.386,0.17,JPL 119,0.2818,1280,0.0368
480936 (2003 QH5),APO,1.26,0.2202,17.62,0.982,20.26,Y,Y,0.537,0.056,0.09,JPL 71,0.6972,516,0.00732
162116 (1998 SA15),APO,1.916,0.5585,7.11,0.846,19.54,Y,Y,0.538,0.116,0.17,JPL 32,0.3717,969,0.0465
       (2010 OQ1),APO,2.145,0.5486,18.89,0.968,19.09,Y,N,0.539,0.153,0.21,JPL 42,0.3136,1150,0.184
       (2010 JM151),APO,1.699,0.4813,16.65,0.881,19.72,Y,N,0.543,0.086,0.02,JPL 33,0.4452,809,0.112
       (2016 AK8),AMO,1.448,0.1867,23.1,1.177,21.14,Y,N,0.543,0.011,0.23,JPL 24,0.5658,636,0.202
       (2015 FY117),AMO,2.018,0.4346,24.36,1.141,20.12,Y,N,0.544,0.018,0.24,JPL 18,0.3438,1050,0.15
454100 (2013 BO73),APO,1.331,0.4182,4.54,0.775,20.18,Y,Y,0.548,0.054,0.01,JPL 72,0.6415,561,0.0178
  5604 (1992 FE),ATE,0.9286,0.4061,4.71,0.552,17.38,Y,Y,0.55,0.48,,JPL 196,1.101,327,0.0333
231937 (2001 FO32),APO,1.699,0.8258,39.01,0.296,17.58,Y,Y,0.55,,0.11,JPL 73,0.4451,809,0.00208
523636 (2010 EX119),APO,1.905,0.5946,15.55,0.772,19.42,Y,N,0.55,0.086,0.01,JPL 34,0.3749,960,0.157
393569 (2003 JC13),APO,1.066,0.3152,8.51,0.73,20.3,Y,N,0.551,0.048,0.01,JPL 88,0.8952,402,0.143
200754 (2001 WA25),APO,1.756,0.5169,15.51,0.849,18.51,Y,N,0.553,0.21,0.2,JPL 129,0.4234,850,0.0976
409836 (2006 QY110),APO,1.924,0.5741,6.4,0.819,18.07,Y,Y,0.554,0.331,0.19,JPL 71,0.3693,975,0.0318
       (2014 TA36),APO,2.839,0.7064,6.13,0.834,20.69,Y,Y,0.554,0.03,0.18,JPL 33,0.206,1750,0.0439
505093 (2011 VQ5),AMO,2.062,0.4367,7.19,1.161,20.2,Y,N,0.556,0.052,0.24,JPL 111,0.333,1080,0.223
       (2010 CP140),APO,1.9,0.5384,14.47,0.877,19.44,Y,N,0.556,0.11,0.1,JPL 34,0.3762,957,0.0968
       (2014 US),AMO,2.619,0.5889,27.04,1.077,19.18,Y,N,0.556,0.186,0.17,JPL 51,0.2325,1550,0.242
363024 (1998 OK1),APO,1.356,0.4293,13.99,0.774,19.42,Y,Y,0.558,0.099,0.01,JPL 80,0.6241,577,0.0394
       (2014 HE3),APO,3.266,0.7262,6.36,0.894,20.01,Y,N,0.561,0.061,0.15,JPL 48,0.167,2160,0.0542
 13651 (1997 BR),APO,1.335,0.3057,17.25,0.927,17.89,Y,Y,0.562,0.511,0.02,JPL 171,0.6386,564,0.0139
267221 (2001 AD2),APO,1.04,0.6598,1.64,0.354,19.85,Y,Y,0.562,0.097,0.02,JPL 104,0.9292,387,0.00821
       (2014 PC68),AMO,1.519,0.2847,40.68,1.087,20.21,Y,N,0.562,0.039,0.2,JPL 11,0.5263,684,0.104
       (2010 HD33),AMO,2.619,0.5151,24.42,1.27,18.33,Y,N,0.563,0.267,0.1,JPL 42,0.2325,1550,0.374
137099 (1998 YW3),APO,1.1,0.4627,28.79,0.591,18.29,Y,N,0.564,0.291,0.02,JPL 134,0.8542,421,0.388
523631 (2009 SX1),APO,1.722,0.4471,8.29,0.952,18.94,Y,N,0.564,0.167,0.01,JPL 113,0.4361,826,0.0736
140158 (2001 SX169),APO,1.347,0.4608,2.52,0.726,18.48,Y,Y,0.566,0.289,0.01,JPL 187,0.6302,571,0.026
 87309 (2000 QP),ATE,0.8475,0.4631,34.74,0.455,17.6,Y,N,0.568,0.499,0.16,JPL 181,1.263,285,0.203
334673 (2003 AL18),APO,1.685,0.4165,15.72,0.983,17.97,Y,N,0.57,0.376,0.22,JPL 135,0.4508,799,0.135
 90403 (2003 YE45),APO,1.234,0.2802,19.01,0.889,17.78,Y,Y,0.572,0.493,0.14,JPL 272,0.7186,501,0.0358
       (2014 CY4),APO,2.655,0.8186,15.02,0.482,20.34,Y,Y,0.574,0.019,0.25,JPL 22,0.2278,1580,0.044
159454 (2000 DJ8),AMO,1.411,0.2528,37.75,1.054,18.07,Y,N,0.577,0.367,0.02,JPL 165,0.588,612,0.247
363027 (1998 ST27),ATE,0.8198,0.5298,21.06,0.385,19.58,Y,Y,0.578,0.059,0.23,JPL 150,1.328,271,0.00992
462775 (2010 GY6),APO,1.286,0.2343,21.91,0.985,19.4,Y,N,0.579,0.028,0.05,JPL 87,0.6755,533,0.0928
       (2015 KH157),APO,1.792,0.5323,21.55,0.838,19.89,Y,Y,0.582,0.052,0.26,JPL 24,0.4109,876,0.0149
311321 (2005 NP1),AMO,1.827,0.2964,34.71,1.285,18.61,Y,N,0.583,0.172,0.11,JPL 59,0.3992,902,0.371
349219 (2007 SV11),APO,1.734,0.4939,32.22,0.878,18.13,Y,N,0.583,0.272,0.15,JPL 48,0.4317,834,0.109
       (2014 AQ46),AMO,2.417,0.529,24.67,1.138,19.73,Y,N,0.585,0.047,0.29,JPL 18,0.2622,1370,0.214
       (2015 PM57),APO,2.206,0.7342,17.38,0.586,18.66,Y,N,0.585,0.187,0.18,JPL 35,0.3009,1200,0.267
246138 (2007 OG3),AMO,2.164,0.4816,1.69,1.122,18.24,Y,N,0.588,0.269,0.17,JPL 59,0.3096,1160,0.12
498066 (2007 RM133),AMO,2.212,0.4398,10.75,1.239,18.55,Y,N,0.589,0.268,0.08,JPL 89,0.2995,1200,0.224
 85953 (1999 FK21),ATE,0.7388,0.703,12.6,0.219,18.15,Y,N,0.59,0.32,,JPL 274,1.552,232,0.0712
439889 (2000 PG5),AMO,2.087,0.4577,6.12,1.132,20.38,Y,N,0.59,0.046,0.23,JPL 32,0.3269,1100,0.117
312070 (2007 TA19),ATE,0.9539,0.5096,22.63,0.468,19.41,Y,Y,0.595,0.087,0.1,JPL 59,1.058,340,0.0196
       (2014 HJ129),AMO,2.58,0.5653,8.44,1.121,20.58,Y,N,0.597,0.018,0.02,JPL 16,0.2379,1510,0.205
       (2014 OY1),APO,2.574,0.6295,23.19,0.953,19.1,Y,N,0.598,0.113,0.21,JPL 26,0.2387,1510,0.0567
455185 (2000 EB107),AMO,3.063,0.5837,24.29,1.275,17.31,Y,N,0.599,0.056,0.01,JPL 39,0.1839,1960,0.362
       (2010 MU112),APO,1.756,0.54,48.04,0.808,20.79,Y,Y,0.599,0.028,0.02,JPL 19,0.4235,850,0.000565
  2101 Adonis (1936 CA),APO,1.874,0.7642,1.32,0.442,18.72,Y,Y,0.6,,,JPL 47,0.3842,937,0.0116
  4688 (1980 WF),AMO,2.232,0.5179,6.38,1.076,19.6,Y,N,0.6,0.18,,JPL 71,0.2955,1220,0.109
 14402 (1991 DB),AMO,1.715,0.4016,11.41,1.026,18.77,Y,N,0.6,0.14,,JPL 105,0.4389,820,0.105
  2101 Adonis (1936 CA),APO,1.874,0.7643,1.32,0.442,18.72,Y,Y,0.6,,,47,0.3843,937,0.0115
  4688 (1980 WF),AMO,2.232,0.5179,6.38,1.076,19.6,Y,N,0.6,0.18,,71,0.2955,1220,0.107
381181 (2007 LV19),APO,1.472,0.3204,14.89,1,19.69,Y,N,0.602,0.064,0.04,JPL 53,0.5521,652,0.0893
523637 (2010 LT108),APO,1.349,0.3708,31.87,0.849,19.53,Y,N,0.602,0.059,0.01,JPL 32,0.6288,573,0.136
       (2010 TU149),APO,2.213,0.8247,1.96,0.388,20.68,Y,Y,0.603,0.025,0.2,JPL 33,0.2994,1200,0.0102
242187 (2003 KR18),AMO,2.346,0.48,5.58,1.22,17.99,Y,N,0.605,0.334,0.08,JPL 173,0.2743,1310,0.235
       (2016 CQ195),APO,2.165,0.7062,28.41,0.636,18.2,Y,N,0.606,0.252,0.23,JPL 41,0.3094,1160,0.271
       (2010 WE9),AMO,1.555,0.2496,42.13,1.167,19.97,Y,N,0.608,0.052,0.17,JPL 29,0.5085,708,0.257
220124 (2002 TE66),APO,1.457,0.3778,51.34,0.906,18.76,Y,N,0.609,0.208,0.03,JPL 107,0.5604,642,0.0978
285339 (1999 JR6),APO,1.367,0.6755,20.32,0.443,18.07,Y,N,0.614,0.268,0.02,JPL 67,0.617,583,0.221
504827 (2010 KZ117),AMO,2.27,0.512,33.16,1.108,19.09,Y,N,0.615,0.092,0.01,JPL 31,0.2882,1250,0.168
726196 (2009 UP1),#N/A,1.516,0.4033,17.28,0.905,19.95,Y,N,0.615,0.035,0.03,JPL 36,0.5279,682,0.0712
       (2009 XD),APO,2.451,0.6733,31.45,0.801,18.78,Y,N,0.615,0.154,0.02,JPL 40,0.2569,1400,0.2
       (2011 QP96),AMO,2.815,0.6378,7.2,1.02,18.63,Y,N,0.617,0.158,0.2,JPL 47,0.2087,1720,0.0731
422699 (2000 PD3),APO,1.999,0.592,7.7,0.815,18.28,Y,Y,0.619,0.22,0.18,JPL 108,0.3488,1030,0.0274
       (2015 PD),APO,1.848,0.6358,12.09,0.673,19.26,Y,N,0.62,0.088,0.18,JPL 44,0.3922,918,0.18
299582 (2006 GQ2),APO,1.29,0.4659,25.83,0.689,18.18,Y,N,0.622,0.288,0.02,JPL 57,0.6724,535,0.125
436329 (2010 GX62),APO,2.971,0.699,21.83,0.894,20.09,Y,Y,0.622,0.012,0.01,JPL 64,0.1925,1870,0.00282
275974 (2001 XD),APO,2.045,0.7958,11.3,0.418,18.68,Y,N,0.626,0.216,0.1,JPL 87,0.337,1070,0.064
185716 (1998 SF35),AMO,1.685,0.2739,35.19,1.224,17.95,Y,N,0.629,0.339,0.1,JPL 119,0.4505,799,0.414
254419 (2004 VT60),AMO,2.075,0.4341,43.51,1.174,17.73,Y,N,0.629,0.408,0.02,JPL 96,0.3296,1090,0.378
       (2012 UR158),APO,2.232,0.8576,3.19,0.318,20.67,Y,Y,0.629,0.023,0.31,JPL 29,0.2956,1220,0.00142
237551 (2000 WQ19),APO,1.406,0.347,34.27,0.918,18.42,Y,N,0.63,0.234,0.04,JPL 100,0.5911,609,0.196
250458 (2004 BO41),APO,1.019,0.4929,35.55,0.516,18,Y,N,0.63,0.282,0.24,JPL 130,0.9589,375,0.089
172034 (2001 WR1),AMO,1.277,0.2026,25.03,1.019,17.84,Y,N,0.631,0.336,0.02,JPL 180,0.6828,527,0.0754
363626 (2004 RA11),AMO,1.824,0.3995,39.36,1.095,18.91,Y,N,0.633,0.135,0.06,JPL 58,0.4001,900,0.396
394392 (2007 EP88),ATE,0.8373,0.8859,20.74,0.096,18.37,Y,N,0.636,0.174,0.04,JPL 61,1.287,280,0.142
395143 (2010 CN1),APO,1.499,0.4391,20.97,0.841,18.95,Y,N,0.636,0.124,0.06,JPL 65,0.5371,670,0.145
       (2015 FZ35),APO,2.789,0.8101,9.43,0.53,19.43,Y,N,0.636,0.076,0.21,JPL 31,0.2116,1700,0.128
 38086 Beowulf (1999 JB),APO,1.42,0.5661,23.67,0.616,17.35,Y,N,0.643,0.469,0.15,JPL 210,0.5823,618,0.385
       (2014 KV86),APO,2.632,0.6414,25.59,0.944,20.55,Y,Y,0.644,0.032,0.17,JPL 16,0.2308,1560,0.0356
       (2010 KH),AMO,2.769,0.5474,14.57,1.253,19.48,Y,N,0.645,0.029,0.01,JPL 29,0.2139,1680,0.378
       (2016 PT),APO,2.855,0.7699,10.4,0.657,20.49,Y,N,0.647,0.024,0.04,JPL 16,0.2044,1760,0.154
       (2014 XQ7),APO,2.638,0.7507,31.02,0.658,20.18,Y,N,0.651,0.024,0.29,JPL 7,0.2301,1560,0.312
477490 (2010 CG18),AMO,1.439,0.226,10.16,1.114,20.59,Y,N,0.652,0.017,0.02,JPL 51,0.5712,630,0.13
345722 (2007 BG29),ATE,0.8327,0.3347,18.51,0.554,18.27,Y,N,0.653,0.258,0.01,JPL 88,1.297,278,0.0872
       (2013 WT44),APO,2.264,0.5654,12.2,0.984,19.3,Y,Y,0.653,0.079,0.01,JPL 82,0.2894,1240,0.0409
250620 (2005 GE59),APO,2.109,0.6025,16.08,0.838,18.07,Y,Y,0.654,0.26,0.14,JPL 141,0.3218,1120,0.0319
285331 (1999 FN53),APO,1.735,0.4563,20.17,0.943,18.2,Y,N,0.654,0.198,0.01,JPL 132,0.4312,835,0.057
310560 (2001 QL142),APO,1.049,0.4991,26.6,0.526,17.8,Y,Y,0.654,0.313,0.17,JPL 81,0.9168,393,0.0482
538212 (2016 CA136),APO,2.032,0.7812,1.26,0.444,19.35,Y,Y,0.654,0.079,0.19,JPL 50,0.3404,1060,0.00705
219071 (1997 US9),APO,1.053,0.2821,20.02,0.756,17.13,Y,N,0.657,0.383,0.19,JPL 307,0.9124,395,0.247
496174 (2011 CQ4),APO,2.001,0.5833,23.74,0.834,18.46,Y,N,0.657,0.179,0.02,JPL 62,0.3481,1030,0.166
411201 (2010 LJ14),AMO,1.626,0.3417,12.03,1.071,17.81,Y,N,0.658,0.31,0.01,JPL 313,0.4753,757,0.174
523595 (2002 OS4),AMO,1.923,0.4539,26.81,1.05,18.37,Y,N,0.658,0.195,0.18,JPL 156,0.3695,974,0.298
413820 (2006 QR89),AMO,1.889,0.3672,9.24,1.195,19.65,Y,N,0.659,0.049,0.26,JPL 52,0.3797,948,0.271
       (2015 GK50),AMO,3.063,0.6697,19.06,1.012,19.92,Y,N,0.66,0.023,0.09,JPL 15,0.1839,1960,0.228
       (2016 JM17),APO,2.423,0.7868,21.01,0.517,19.6,Y,N,0.661,0.059,0.2,JPL 24,0.2613,1380,0.35
       (2016 QU1),APO,2.231,0.9048,23.32,0.212,19.2,Y,N,0.661,0.093,0.17,JPL 18,0.2958,1220,0.246
386847 (2010 LR33),APO,1.692,0.4625,5.83,0.909,18.06,Y,Y,0.663,0.211,0.01,JPL 109,0.448,804,0.029
438107 (2005 GY110),APO,1.849,0.6864,12.65,0.58,18.36,Y,N,0.663,0.191,0.02,JPL 38,0.3921,918,0.214
       (2010 OA1),APO,1.758,0.4426,7.83,0.98,23.5,Y,N,0.663,,0.04,JPL 9,0.4229,851,0.00236
506074 Svarog (2015 UM67),APO,1.558,0.6874,6.01,0.487,18.93,Y,Y,0.665,0.11,0.18,JPL 93,0.5069,710,0.0482
277617 (2006 BT7),APO,1.522,0.6333,16.17,0.558,18.18,Y,N,0.666,0.19,0.1,JPL 69,0.525,686,0.253
399325 (1999 GY5),APO,1.146,0.6148,24.43,0.442,20.21,Y,N,0.669,0.039,0.12,JPL 50,0.8029,448,0.0646
343166 (2009 SO103),APO,2.004,0.6635,29.48,0.674,17.42,Y,N,0.67,0.431,0.01,JPL 89,0.3474,1040,0.145
365071 (2009 AV),APO,1.03,0.0739,45.87,0.954,18.18,Y,Y,0.674,0.246,0.01,JPL 153,0.9433,382,0.0195
       (2014 BG60),AMO,2.99,0.6241,8.55,1.124,19.42,Y,N,0.675,0.035,0.25,JPL 25,0.1907,1890,0.193
277039 (2005 CF41),APO,1.649,0.5859,15.87,0.683,18.55,Y,N,0.676,0.156,0.02,JPL 51,0.4656,773,0.206
       (2010 FX80),AMO,2.168,0.4545,36.96,1.183,20.3,Y,N,0.676,0.022,0.13,JPL 17,0.3087,1170,0.535
       (2015 DE176),APO,2.008,0.564,10.27,0.876,19.72,Y,N,0.679,0.048,0.01,JPL 48,0.3464,1040,0.123
       (2016 LE9),APO,2.137,0.7576,15.33,0.518,17.73,Y,N,0.681,0.289,0.21,JPL 92,0.3156,1140,0.259
155110 (2005 TB),APO,1.261,0.3486,30.38,0.822,17.49,Y,N,0.683,0.379,0.03,JPL 167,0.6957,517,0.11
455426 (2003 MT9),APO,2.533,0.9224,6.84,0.197,18.76,Y,N,0.685,0.137,0.27,JPL 41,0.2445,1470,0.0539
       (2010 KY39),AMO,1.741,0.3984,25.51,1.047,20.11,Y,N,0.685,0.029,0.01,JPL 30,0.4292,839,0.303
676362 (2016 FG15),#N/A,2.496,0.6953,16.64,0.761,19.96,Y,N,0.686,0.041,0.26,JPL 41,0.2499,1440,0.225
       (2007 WE55),APO,1.91,0.573,11.48,0.816,20.06,Y,N,0.687,0.031,0.27,JPL 21,0.3734,964,0.0898
534676 (2014 VK2),APO,1.838,0.6036,16.39,0.728,18.65,Y,N,0.691,0.123,0.16,JPL 49,0.3957,910,0.0937
477588 (2010 JD87),APO,1.428,0.6395,24.62,0.515,19.39,Y,N,0.692,0.093,0.01,JPL 31,0.5778,623,0.284
       (2014 RL12),APO,2.76,0.674,23.79,0.9,17.96,Y,N,0.694,0.254,0.02,JPL 69,0.2149,1680,0.121
442037 (2010 PR66),APO,2.927,0.6872,17.6,0.916,19.27,Y,Y,0.695,0.063,0.02,JPL 103,0.1968,1830,0.000703
       (2014 AA53),APO,2.369,0.6732,12.49,0.774,19.55,Y,N,0.698,0.044,0.27,JPL 15,0.2703,1330,0.143
  3362 Khufu (1984 QA),ATE,0.9895,0.4685,9.92,0.526,18.52,Y,Y,0.7,0.21,,JPL 24,1.001,360,0.0133
  3988 Huma (1986 LA),AMO,1.545,0.3166,10.77,1.056,17.94,Y,N,0.7,,,JPL 151,0.5135,701,0.178
  8014 (1990 MF),APO,1.747,0.456,1.87,0.951,18.88,Y,Y,0.7,,,JPL 178,0.4268,844,0.0169
  3362 Khufu (1984 QA),ATE,0.9895,0.4686,9.92,0.526,18.52,Y,Y,0.7,0.21,,24,1.001,360,0.0133
  3988 Huma (1986 LA),AMO,1.544,0.3167,10.77,1.055,17.95,Y,N,0.7,,,JPL 141,0.5135,701,0.178
533722 (2014 NE52),APO,2.385,0.6585,3.86,0.815,18.21,Y,Y,0.701,0.249,0.22,JPL 55,0.2675,1350,0.0357
237805 (2002 CF26),AMO,1.604,0.3412,35.3,1.057,17.4,Y,N,0.703,0.43,0.23,JPL 283,0.4851,742,0.0929
 35396 (1997 XF11),APO,1.442,0.4837,4.1,0.745,17.01,Y,Y,0.704,0.772,0.1,JPL 393,0.5691,633,0.000394
520808 (2014 TF64),APO,1.613,0.4179,52.68,0.939,20.01,Y,N,0.704,0.032,0.2,JPL 52,0.481,749,0.132
271480 (2004 FX31),APO,1.261,0.442,24.75,0.703,17.66,Y,N,0.709,0.352,0.22,JPL 263,0.6964,517,0.0651
163454 (2002 RN129),APO,1.162,0.3698,23.12,0.732,19.11,Y,N,0.712,0.096,0.25,JPL 70,0.7868,458,0.235
       (2010 UY6),APO,2.649,0.6166,19.88,1.016,20.11,Y,Y,0.712,0.03,0.25,JPL 42,0.2286,1570,0.0376
173689 (2001 PK9),AMO,1.779,0.395,10.43,1.077,18.26,Y,N,0.724,0.161,0.23,JPL 97,0.4152,867,0.116
395207 (2010 HQ80),APO,1.568,0.4893,27.85,0.801,19.62,Y,Y,0.724,0.022,0.14,JPL 85,0.5019,717,0.00659
464797 (2004 FZ1),APO,1.794,0.5309,52.62,0.841,18.3,Y,N,0.726,0.16,0.27,JPL 70,0.4103,877,0.228
162181 (1999 LF6),APO,1.41,0.2805,18.94,1.014,18.19,Y,N,0.729,0.175,0.02,JPL 290,0.5889,611,0.0643
       (2009 WF106),APO,2.115,0.7097,36.87,0.614,19.77,Y,N,0.731,0.04,0.26,JPL 23,0.3204,1120,0.074
       (2014 OZ1),AMO,2.852,0.6013,21.34,1.137,21,Y,N,0.732,0.013,0.29,JPL 18,0.2047,1760,0.295
       (2016 XY23),AMO,2.792,0.5711,28.14,1.198,20.49,Y,N,0.734,0.019,0.3,JPL 7,0.2112,1700,0.221
163348 (2002 NN4),ATE,0.8758,0.4345,5.42,0.495,20.08,Y,Y,0.735,0.03,0.24,JPL 161,1.202,299,0.00719
450159 (2000 JJ5),APO,1.91,0.7024,9.45,0.569,19.03,Y,N,0.735,0.09,0.33,JPL 37,0.3733,964,0.0967
 68346 (2001 KZ66),APO,1.507,0.4166,16.7,0.879,16.93,Y,Y,0.736,0.291,0.21,JPL 238,0.5326,676,0.0386
 11500 Tomaiyowit (1989 UR),APO,1.08,0.3558,10.31,0.696,18.37,Y,Y,0.738,0.142,0.01,JPL 213,0.8783,410,0.0345
477491 (2010 CD19),APO,2.258,0.5788,20.75,0.951,17.99,Y,N,0.739,0.25,0.01,JPL 48,0.2906,1240,0.0734
294739 (2008 CM),APO,1.566,0.408,36.01,0.927,17.04,Y,Y,0.74,0.425,0.24,JPL 349,0.503,716,0.0447
514652 (2005 SC71),AMO,1.91,0.3825,32.38,1.18,18.31,Y,N,0.741,0.154,0.15,JPL 68,0.3733,964,0.332
198856 (2005 LR3),AMO,1.654,0.3352,25,1.1,17.01,Y,N,0.742,0.389,0.22,JPL 143,0.4633,777,0.14
 86667 (2000 FO10),ATE,0.8594,0.5946,14.29,0.348,17.54,Y,N,0.745,0.349,0.02,JPL 362,1.237,291,0.134
511808 (2015 FH120),APO,2.038,0.6097,11.1,0.795,18.67,Y,N,0.746,0.105,0.27,JPL 73,0.3388,1060,0.127
274138 (2008 FU6),APO,1.324,0.569,12.83,0.571,17.77,Y,N,0.747,0.24,0.02,JPL 202,0.647,556,0.102
       (2015 FT344),AMO,2.552,0.5714,12.54,1.094,20.12,Y,N,0.753,0.034,0.21,JPL 33,0.2418,1490,0.204
138127 (2000 EE14),ATE,0.6618,0.5331,26.46,0.309,17.11,Y,Y,0.754,0.449,0.02,JPL 161,1.831,197,0.0219
       (2010 YD3),AMO,2.586,0.5662,24.47,1.122,19.68,Y,N,0.755,0.031,0.25,JPL 24,0.237,1520,0.208
469494 (2002 XS40),APO,1.497,0.338,11.63,0.991,20.07,Y,N,0.758,0.028,0.03,JPL 50,0.538,669,0.156
       (2010 PY75),APO,2.657,0.776,31.55,0.595,18.5,Y,N,0.758,0.102,0.05,JPL 25,0.2275,1580,0.25
 88710 (2001 SL9),APO,1.061,0.2701,21.9,0.775,17.64,Y,N,0.76,0.281,0.2,JPL 241,0.9012,399,0.196
262623 (2006 WY2),ATE,0.9833,0.3329,27.55,0.656,18.64,Y,N,0.761,0.122,0.08,JPL 217,1.011,356,0.255
445305 (2010 DM56),APO,1.306,0.2927,25.6,0.924,19.71,Y,Y,0.762,0.025,0,JPL 53,0.6601,545,0.00644
241370 (2008 LW8),APO,1.676,0.3936,17.27,1.016,17.42,Y,N,0.764,0.224,0.24,JPL 209,0.4544,792,0.142
488494 (2000 JA3),AMO,2.253,0.4569,10.19,1.224,18.74,Y,N,0.766,0.1,0.15,JPL 54,0.2914,1240,0.223
406952 (2009 KJ),APO,1.241,0.7175,32.96,0.351,17.13,Y,N,0.772,0.429,0.21,JPL 41,0.713,505,0.0874
393359 (1998 ME3),AMO,2.178,0.4828,6,1.127,19.44,Y,N,0.774,0.062,0.33,JPL 30,0.3066,1170,0.114
       (2010 DH56),APO,2.236,0.5675,33.66,0.967,20.31,Y,N,0.774,0.022,0.02,JPL 13,0.2948,1220,0.331
 85628 (1998 KV2),AMO,1.592,0.3314,13.03,1.065,17.28,Y,N,0.775,0.461,0.03,JPL 713,0.4905,734,0.144
152952 (2000 GC2),AMO,1.383,0.187,55.29,1.125,17.57,Y,N,0.776,0.353,0.14,JPL 131,0.6057,594,0.28
162080 (1998 DG16),ATE,0.8967,0.3582,16.21,0.576,19.95,Y,N,0.777,0.035,0.06,JPL 89,1.161,310,0.189
 65803 Didymos (1996 GT),APO,1.643,0.3833,3.41,1.013,18.11,Y,Y,0.78,,0.03,JPL 219,0.4682,769,0.0398
215757 (2004 FU64),AMO,1.838,0.3669,24.88,1.164,17.9,Y,N,0.78,0.241,0.27,JPL 98,0.3956,910,0.342
304330 (2006 SX217),APO,1.412,0.3103,21.04,0.974,18.9,Y,Y,0.78,0.08,0.01,JPL 91,0.5876,613,0.0293
381989 (2010 HR80),APO,1.347,0.4956,26.71,0.68,19.87,Y,N,0.783,0.02,0.01,JPL 43,0.6301,571,0.104
  7839 (1994 ND),AMO,2.165,0.5187,27.12,1.042,17.83,Y,N,0.784,0.181,0.01,JPL 47,0.3095,1160,0.137
263976 (2009 KD5),APO,1.046,0.2615,13.47,0.773,18.39,Y,Y,0.785,0.125,0.01,JPL 172,0.9211,391,0.0492
364877 (2008 EM9),APO,1.958,0.8526,9.44,0.289,17.35,Y,N,0.786,0.317,0.03,JPL 91,0.3596,1000,0.134
       (2014 AA33),APO,2.883,0.6638,20.1,0.969,19.28,Y,N,0.787,0.054,0.04,JPL 50,0.2014,1790,0.262
152964 (2000 GP82),APO,1.397,0.3934,13.23,0.847,17.8,Y,N,0.788,0.342,0.14,JPL 164,0.5971,603,0.0902
418797 (2008 VF),ATE,0.9059,0.3258,26.2,0.611,19.41,Y,N,0.789,0.063,0.23,JPL 100,1.143,315,0.21
162980 (2001 RR17),APO,1.553,0.4886,30.4,0.794,16.77,Y,N,0.79,0.658,0.04,JPL 250,0.5092,707,0.196
163899 (2003 SD220),ATE,0.8276,0.21,8.54,0.654,17.63,Y,Y,0.791,0.34,0.03,JPL 180,1.309,275,0.0173
518507 (2006 EE1),APO,1.203,0.2764,36.4,0.87,19.94,Y,N,0.794,0.034,0.02,JPL 67,0.7473,482,0.0747
 88254 (2001 FM129),APO,1.182,0.6296,1.52,0.438,17.77,Y,Y,0.8,0.252,0.01,JPL 195,0.7666,470,0.01
 86819 (2000 GK137),APO,1.995,0.5059,10.06,0.986,17.47,Y,Y,0.802,0.301,0.27,JPL 162,0.3497,1030,0.0168
416071 (2002 NV),AMO,2.667,0.6169,22.27,1.022,18.02,Y,N,0.803,0.189,0.02,JPL 61,0.2263,1590,0.309
 66272 (1999 JW6),AMO,1.508,0.1433,51.32,1.292,17.24,Y,N,0.808,0.4,0.01,JPL 189,0.5325,676,0.41
       (2010 MZ112),APO,1.227,0.5209,23.59,0.588,,Y,N,0.808,,0.14,JPL 15,0.7252,496,0.169
385186 (1994 AW1),AMO,1.105,0.0755,24.1,1.022,17.64,Y,Y,0.811,0.223,0.02,JPL 346,0.8485,424,0.0206
       (1999 XK136),APO,2.384,0.7029,2.67,0.708,20.56,Y,Y,0.811,0.02,0.4,JPL 33,0.2678,1340,0.0115
162385 (2000 BM19),ATE,0.7407,0.3586,6.88,0.475,18.61,Y,N,0.812,0.115,0.1,JPL 75,1.546,233,0.0828
303248 (2004 QV16),APO,1.769,0.5742,28.49,0.753,18.03,Y,N,0.817,0.084,0.33,JPL 87,0.4188,860,0.111
438990 (2010 SG13),APO,1.252,0.7485,33.8,0.315,18.39,Y,N,0.818,0.126,0.26,JPL 40,0.7032,512,0.0655
152941 (2000 FM10),APO,1.481,0.6808,8.73,0.473,17.62,Y,N,0.82,0.205,0.01,JPL 155,0.5467,658,0.127
505667 (2014 UV33),AMO,2.016,0.4138,8.86,1.182,17.82,Y,N,0.82,0.182,0.01,JPL 139,0.3442,1050,0.208
       (2016 SH45),AMO,2.755,0.5772,8.97,1.165,19.17,Y,N,0.82,0.046,0.07,JPL 31,0.2156,1670,0.236
       (2010 LU108),APO,2.229,0.8228,9.46,0.395,19.95,Y,N,0.825,0.026,0.01,JPL 27,0.2961,1220,0.121
433992 (2000 HD74),AMO,2.918,0.598,49.25,1.173,18.04,Y,N,0.827,0.144,0.01,JPL 91,0.1977,1820,0.277
